seed	step	L1	L2	L1/L2	mu_w	median_w	sigma_w	mu_b	median_b	sigma_b	trace	lambda_max	trace/lambda	mu_lambda	sigma_lambda
0	44000	80978.95103236607	58.49482960603675	1060.029114269635	-8.748483196541201e-06	-1.5497207641601562e-06	0.002006875118240714	-0.015912005677819252	-0.0229339599609375	9.344284057617188	-0.009104812631801682	11.431216390765442	0.00014416110340375219	1.847260972675012	1.26560683122703
0	45000	80826.84843351402	58.49857707899444	1059.193000362031	-8.677785444888286e-06	-2.7418136596679688e-06	0.002006968716159463	-0.016093222424387932	-0.023162841796875	9.755050659179688	-0.04347081087073501	11.520541478176506	-0.0026896043159292315	1.84482420220667	1.2838476227254283
0	46000	80657.23232222577	58.48866774111378	1058.3780992438287	-8.627314855402801e-06	-2.0265579223632812e-06	0.0020064054988324642	-0.01626155711710453	-0.0233917236328125	10.168892860412598	-0.04556267602103097	11.59964672400027	-0.0049919393493825645	1.842101548399244	1.3014174055080026
0	47000	80480.07340162627	58.47195053100586	1057.628430086808	-8.527561476512346e-06	-7.748603820800781e-07	0.0020054220221936703	-0.01642860285937786	-0.02362060546875	10.585809707641602	-0.044809037325333576	11.675409136986246	-0.004358858478206385	1.8393189602968645	1.318151338368046
0	48000	80290.66370376275	58.44709746691645	1056.8956018278989	-8.393532880290877e-06	-5.960464477539063e-08	0.0020040152594447136	-0.01657693460583687	-0.0238494873046875	11.008466720581055	-0.02279009502761218	11.741604605499578	0.001966901040472234	1.8363471250144803	1.334487914278799
0	49000	80093.1686862245	58.403804973680145	1056.3041667093107	-8.203957804653328e-06	-2.0265579223632812e-06	0.0020015111658722162	-0.016726016998291016	-0.0240478515625	11.432799339294434	-0.03571245864946015	11.785042407561322	-0.0008364046787467886	1.8331658548238325	1.3484415136733834
0	50000	79887.29362643496	58.34639304024832	1055.8095797174424	-8.362644621229265e-06	-3.874301910400391e-06	0.0019979067146778107	-0.01687041111290455	-0.0242462158203125	11.860739707946777	-0.05982248637141013	11.8081457176987	-0.006470380086998809	1.8299676289363784	1.3592703102194532
0	51000	79665.97997050383	58.263070748776805	1055.453217085976	-8.390225048060529e-06	-1.7881393432617188e-06	0.0019923378713428974	-0.01703406497836113	-0.024444580078125	12.284605026245117	-0.07809629732248735	11.815486776585482	-0.007954683350199684	1.8264377214470688	1.3656214192813756
0	52000	79445.39700255102	58.18502153669085	1055.0669127268682	-8.458882803097367e-06	-3.874301910400391e-06	0.001987507101148367	-0.017188413068652153	-0.024658203125	12.715386390686035	-0.07359019590883839	11.824645378151718	-0.007524611385329804	1.8227603228724734	1.3747683298222872
0	53000	79212.7059749681	58.095533098493306	1054.6943313562351	-8.486305887345225e-06	-4.589557647705078e-06	0.0019822053145617247	-0.017325380817055702	-0.0248260498046875	13.149868965148926	-0.07638061654811003	11.823880823291077	-0.010381791267258647	1.8187556242456242	1.383675897607998
0	54000	78977.35981345663	57.99490928649902	1054.4371588534484	-8.745274499233346e-06	-1.9073486328125e-06	0.0019757570698857307	-0.017479414120316505	-0.0250091552734375	13.584441184997559	-0.07513727703872992	11.799482851612325	-0.008596877751570522	1.8148807664306796	1.3889330128321842
0	55000	78726.2718231824	57.88328201916753	1054.1293947936351	-8.641235581308138e-06	-2.384185791015625e-06	0.0019688797183334827	-0.01762820966541767	-0.025146484375	14.021330833435059	-0.08379668970497287	11.785150858820701	-0.007461203387953308	1.8103718210239799	1.395088980848692
0	56000	78459.98642777423	57.75527385789521	1053.8479183033576	-8.531978892278858e-06	-2.4437904357910156e-06	0.0019605427514761686	-0.017773961648344994	-0.025360107421875	14.4551362991333	-0.09283359440005555	11.764711272959806	-0.01060995195352452	1.8056324501426853	1.3978943697043829
0	57000	78191.85730229592	57.626176016671316	1053.57385786852	-8.503118806402199e-06	-1.5497207641601562e-06	0.0019526894902810454	-0.01790785789489746	-0.0254669189453125	14.892380714416504	-0.0988601920556049	11.73854881889966	-0.011551477972154103	1.8006805290981216	1.402866551462485
0	58000	77914.87679368623	57.479633954106546	1053.373576272621	-8.291354788525496e-06	-1.9073486328125e-06	0.0019433166598901153	-0.01804833672940731	-0.025634765625	15.326290130615234	-0.10370541227107145	11.703236550700908	-0.012887867935295255	1.7955368489635235	1.404094641458015
0	59000	77630.7977718431	57.318557817108776	1053.2407262200866	-8.140176760207396e-06	-2.7418136596679688e-06	0.0019326063338667154	-0.018184693530201912	-0.025787353515625	15.756876945495605	-0.0937684677085098	11.657231997470467	-0.011268611680134703	1.7902426281753852	1.402047030019517
0	60000	77339.49810666454	57.17398371015276	1052.9058360882716	-8.249480742961168e-06	-4.947185516357422e-06	0.0019240569090470672	-0.018302731215953827	-0.025970458984375	16.193302154541016	-0.09150549951864749	11.641716295359085	-0.011339608900309578	1.7844623704345859	1.4079744311011568
0	61000	77047.92085857781	57.018684659685405	1052.6664716638697	-8.348753908649087e-06	-2.2649765014648438e-06	0.00191428791731596	-0.018426235765218735	-0.026153564453125	16.62736701965332	-0.07354122886852342	11.611144333469625	-0.008438021620730075	1.7788184710911341	1.4099679435698353
0	62000	76749.47293526786	56.85668190158143	1052.4383036699933	-8.218315088015515e-06	-5.9604644775390625e-06	0.001904181786812842	-0.018557509407401085	-0.0262451171875	17.059310913085938	-0.0852067689506375	11.57868623246952	-0.011217431666019259	1.7729529872232554	1.4117008751752425
0	63000	76443.57979910714	56.68834604535784	1052.1889938155396	-7.915368769317865e-06	-4.112720489501953e-06	0.0018936622655019164	-0.01867847517132759	-0.026397705078125	17.49176597595215	-0.07854910286105408	11.544642210006714	-0.010945039664005602	1.7668856674311113	1.4128971294480928
0	64000	76136.53758769133	56.51158301684321	1051.994612849208	-8.155777322826907e-06	-4.351139068603516e-06	0.0018824385479092598	-0.018796535208821297	-0.026519775390625	17.919458389282227	-0.09067262070519584	11.507096927993151	-0.013334540104079664	1.7607034298838402	1.4124714780826957
0	65000	75824.38725685587	56.331329345703125	1051.810783915248	-7.970185833983123e-06	-3.2186508178710938e-06	0.001871113432571292	-0.018919626250863075	-0.0266571044921875	18.347360610961914	-0.11429544979212236	11.467534400978867	-0.01494898750188891	1.7543446774385414	1.4123280083342475
0	66000	75513.37824856504	56.14496153228137	1051.6595801167773	-8.008541044546291e-06	-2.205371856689453e-06	0.0018593824934214354	-0.019025707617402077	-0.02679443359375	18.77149200439453	-0.14233213176532666	11.423486213294828	-0.019986620528283903	1.7478655674019639	1.4112928716503843
0	67000	75192.47602439413	55.95299872573541	1051.4888903470182	-7.686165190534666e-06	-2.4437904357910156e-06	0.0018473542295396328	-0.019136443734169006	-0.026885986328125	19.193687438964844	-0.1299068611495349	11.38498863881948	-0.017098511742238334	1.7411480667639752	1.4102126150106897
0	68000	74865.70573580996	55.74353264789192	1051.430721555377	-7.51532616050099e-06	-3.4570693969726562e-06	0.0018337699584662914	-0.019255943596363068	-0.0269317626953125	19.604530334472656	-0.12990580651224876	11.327396743151606	-0.016964144227709976	1.7343411153676558	1.404856383648454
0	69000	74537.64044563138	55.54464367457798	1051.2539564791923	-7.435048701154301e-06	-4.76837158203125e-06	0.001821442972868681	-0.01935518905520439	-0.0270233154296875	20.017385482788086	-0.14553782526327638	11.291565238213053	-0.018169268524402114	1.7273350503979896	1.403774146218689
0	70000	74210.75047831633	55.34098243713379	1051.1119764359564	-7.521253337472444e-06	-3.874301910400391e-06	0.0018087693024426699	-0.0194601658731699	-0.02716064453125	20.427146911621094	-0.15195220587204913	11.249002252306257	-0.017258711952486835	1.7202927287744016	1.4016991716866591
0	71000	73886.33518016581	55.130996042368366	1051.0599995143132	-7.448269116139272e-06	-3.5762786865234375e-06	0.001795621239580214	-0.019572176039218903	-0.0272369384765625	20.83123207092285	-0.1609610465108132	11.19877576828003	-0.021208240517706013	1.7132325683321272	1.3982182785260433
0	72000	73564.76580436862	54.9410728143186	1050.8496801438323	-7.303044185391627e-06	-3.2186508178710938e-06	0.001784626510925591	-0.019676029682159424	-0.0273590087890625	21.237947463989258	-0.18085893806146117	11.17168782681835	-0.023497409649139524	1.706000105458863	1.4013124239079806
0	73000	73258.90096859056	54.788262075307415	1050.4776158724235	-7.181470209616236e-06	-4.351139068603516e-06	0.0017773994477465749	-0.019762910902500153	-0.0273590087890625	21.64913558959961	-0.20118750966325097	11.161250912413305	-0.025587814463352523	1.698715899671827	1.4152810229938857
0	74000	72920.15589126275	54.55006358088279	1050.5471456368266	-6.99490783517831e-06	-3.5762786865234375e-06	0.0017616855911910534	-0.01986485719680786	-0.027435302734375	22.037893295288086	-0.17795649839907277	11.094647407531738	-0.019785106037910182	1.6911942934503361	1.405750886974286
0	75000	72585.54161352041	54.32795423390914	1050.4913102373766	-6.6979841903958e-06	-2.8014183044433594e-06	0.0017479039961472154	-0.01995060406625271	-0.0275115966796875	22.424171447753906	-0.18142294153875235	11.044766756953026	-0.022156222925503868	1.683484054341608	1.4024053441018474
0	76000	72254.01957110969	54.108980607013315	1050.422438280114	-6.651685907854699e-06	-1.6093254089355469e-06	0.0017345251981168985	-0.0200435109436512	-0.0275421142578125	22.80501365661621	-0.18653564672080838	10.997743499522306	-0.023236792475410602	1.6757599200521196	1.400059417042197
0	77000	71915.64658402423	53.880072379598815	1050.3803914798873	-6.828791811130941e-06	-2.1457672119140625e-06	0.0017204134492203593	-0.020120317116379738	-0.0275421142578125	23.174753189086914	-0.18582637334356503	10.9477721623012	-0.025216683885955566	1.6678146440155652	1.3962626258025364
0	78000	71596.03015385842	53.70049846415617	1050.0415025067118	-6.702343398501398e-06	-3.039836883544922e-06	0.0017117197858169675	-0.020199401304125786	-0.0276031494140625	23.549480438232422	-0.19077254436453994	10.945350895122607	-0.026358343660072104	1.6597238207349971	1.4081042442394762
0	79000	71273.83850845025	53.51087881594288	1049.8472244307297	-6.657163339696126e-06	-2.5033950805664062e-06	0.001701299101114273	-0.020268520340323448	-0.027587890625	23.91368865966797	-0.20982767002923147	10.920333833110575	-0.029748462177811373	1.6519257292455556	1.4143946564623289
0	80000	70938.93391262754	53.28852816990444	1049.7742149367919	-6.6209536271344405e-06	-3.5762786865234375e-06	0.0016879797913134098	-0.020347043871879578	-0.027557373046875	24.267833709716797	-0.22157715169750913	10.884260245731898	-0.028910072021352883	1.6439365647277053	1.4127558329883887
0	81000	70608.86128826531	53.0794653600576	1049.5754232355118	-6.469769232353428e-06	-3.2782554626464844e-06	0.0016763715539127588	-0.020415788516402245	-0.027557373046875	24.61983871459961	-0.23139844257004408	10.879817354435824	-0.03214033683467451	1.6358400023713404	1.4160535387238677
0	82000	70354.91940369898	52.99937076957858	1049.0211312250203	-5.793769560114015e-06	-2.2649765014648438e-06	0.0016781610902398825	-0.02048344723880291	-0.027587890625	24.972515106201172	-0.21210277445462286	11.005536079406738	-0.02890543760887373	1.628270999509461	1.4553336513285735
0	83000	70119.54282924107	52.91845364473304	1048.642162983729	-5.696939751942409e-06	-3.5762786865234375e-06	0.001679185195825994	-0.020512394607067108	-0.027587890625	25.30999755859375	-0.22067625060373422	11.117860210185148	-0.030258893578887436	1.621160780896946	1.4908592734409838
0	84000	69877.08713329081	52.79640769958496	1048.496590225295	-5.380283710110234e-06	-3.4570693969726562e-06	0.0016762015875428915	-0.020527442917227745	-0.0275421142578125	25.62718391418457	-0.22603549641005846	11.188664300101143	-0.030016896283453692	1.613968883241926	1.5146280838822832
0	85000	69581.37515943877	52.59523601921237	1048.5317490153088	-5.216797489993041e-06	-2.5033950805664062e-06	0.001665199757553637	-0.02053806558251381	-0.027557373046875	25.93651580810547	-0.23351646564444717	11.181232958423848	-0.029928933161074707	1.6064177471764234	1.516799475009344
0	86000	69264.48644770408	52.358774691211934	1048.6617393398485	-5.249635250947904e-06	-1.2516975402832031e-06	0.0016507657710462809	-0.020580019801855087	-0.02752685546875	26.243677139282227	-0.2337909207052114	11.147471194364586	-0.031392633599469845	1.5985995068842052	1.5102081180227047
0	87000	69003.66675302933	52.21646024742905	1048.4152716307199	-5.0263683988305274e-06	-3.039836883544922e-06	0.001647231518290937	-0.02057267166674137	-0.027496337890625	26.532989501953125	-0.26080396710609904	11.231407501259628	-0.03179068124341114	1.5907543593523454	1.5339955217680152
